Timestamp (s),Heart Rate (BPM),Face Movement (avg),Eye Movement (avg)
0.00,95.27,1.77,49.79
5.00,101.59,1.59,57.92
6.01,107.96,1.71,46.81
7.01,100.03,2.73,60.70
8.01,106.17,1.84,54.27
9.01,104.50,1.32,50.38
10.01,106.45,1.24,53.64
11.08,109.37,1.38,58.56
12.11,108.28,1.32,54.11
13.15,106.21,1.46,53.17
14.15,108.15,2.65,76.06
15.15,113.21,2.12,64.10
16.18,115.42,3.03,55.43
17.18,104.78,3.92,58.68
18.18,105.09,2.69,55.41
19.19,108.58,1.82,60.68
20.19,106.13,1.52,62.70
21.19,102.28,1.88,61.33
22.19,105.22,2.91,80.80
23.19,106.11,1.23,64.71
24.22,105.47,2.70,52.80
25.23,105.19,2.68,63.89
26.23,105.78,1.57,65.02
27.26,105.18,1.58,59.99
28.26,103.13,1.22,60.28
29.26,101.93,0.96,61.25
30.26,99.67,1.27,69.34
31.26,99.01,1.39,71.59
32.23,101.42,1.10,67.42
33.23,101.79,1.72,61.20
34.20,100.41,1.74,60.96
35.14,100.30,1.23,60.44
