Timestamp (s),Heart Rate (BPM),Face Movement (avg),Eye Movement (avg)
0.00,101.25,1.77,49.79
4.57,85.21,1.59,57.92
4.77,86.97,1.71,46.81
4.97,96.70,2.73,60.70
5.17,82.19,1.84,54.27
5.41,94.81,1.32,50.38
5.64,99.25,1.24,53.64
5.87,99.90,1.38,58.56
6.07,90.32,1.32,54.11
6.31,99.90,1.46,53.17
6.51,100.30,2.65,76.06
6.74,101.10,2.12,64.10
6.97,99.91,3.03,55.43
7.24,100.95,3.92,58.68
7.47,95.28,2.69,55.41
7.67,100.42,1.82,60.68
7.87,106.30,1.52,62.70
8.07,98.93,1.88,61.33
8.24,108.00,2.91,80.80
8.44,100.43,1.23,64.71
8.64,103.79,2.70,52.80
8.84,105.31,2.68,63.89
9.08,98.54,1.57,65.02
9.31,110.81,1.58,59.99
9.51,91.82,1.22,60.28
9.71,101.83,0.96,61.25
9.94,106.17,1.27,69.34
10.14,97.32,1.39,71.59
10.38,104.29,1.10,67.42
10.58,102.03,1.72,61.20
10.78,101.67,1.74,60.96
11.01,100.62,1.23,60.44
11.21,100.60,1.91,64.29
11.41,94.52,2.61,50.79
11.64,101.81,1.01,46.16
11.85,98.33,1.32,49.36
12.05,98.02,1.35,54.53
12.25,101.96,1.62,46.03
12.45,96.46,1.09,41.52
12.65,98.15,1.42,48.62
12.81,93.83,0.86,43.89
13.05,98.68,1.74,44.53
13.25,96.04,0.89,46.86
13.45,101.22,1.68,46.15
13.65,105.21,1.70,51.44
13.85,101.76,1.22,57.09
14.05,104.93,1.89,45.93
14.28,102.01,1.72,45.24
14.48,99.90,1.24,45.58
14.71,102.58,1.05,44.96
14.91,100.96,1.27,52.38
15.12,100.60,1.60,49.53
15.32,97.11,1.27,50.80
15.52,100.80,2.28,46.45
15.72,101.03,1.56,54.91
15.92,93.48,1.33,55.83
16.12,101.04,1.07,53.10
16.32,99.68,1.82,67.62
16.52,100.34,3.01,56.48
16.68,101.04,1.87,52.82
16.88,100.11,0.96,52.74
17.08,91.59,1.05,50.59
17.28,104.03,0.77,50.05
17.48,98.67,1.28,50.54
17.68,107.25,0.60,52.11
17.88,103.10,1.55,58.59
18.08,102.22,1.99,54.27
18.28,104.75,1.28,56.07
18.49,101.83,1.06,56.45
18.69,101.61,0.82,58.21
18.89,101.21,1.17,65.05
19.09,101.02,1.88,71.03
19.29,103.96,2.23,61.56
19.49,100.97,3.15,51.77
19.69,102.21,2.34,51.07
19.85,102.39,1.22,54.88
20.05,99.89,0.85,63.92
20.25,100.74,1.15,68.37
20.45,100.70,1.01,61.24
20.59,101.94,1.23,55.47
20.79,104.15,0.95,56.54
20.99,96.15,1.09,52.75
21.19,102.40,1.21,59.32
21.39,105.08,2.63,47.28
21.59,102.14,4.41,51.58
21.82,106.74,2.75,48.19
22.02,96.34,1.53,61.22
22.22,101.72,2.94,53.30
22.42,104.40,2.23,60.67
22.59,106.44,1.35,60.23
22.79,107.33,1.40,51.31
22.99,96.71,2.97,77.57
23.19,102.87,2.18,67.07
23.39,106.72,1.47,60.43
23.59,105.93,1.22,58.99
23.76,104.16,1.57,69.48
23.96,95.48,1.41,74.51
24.16,105.82,0.70,67.92
24.36,106.18,1.17,63.79
24.56,104.47,1.78,57.97
24.72,104.66,1.29,56.71
24.92,103.23,0.74,57.79
25.13,104.02,1.34,53.09
25.33,102.66,0.71,53.59
25.53,103.31,1.45,61.88
25.73,103.12,1.70,59.77
25.93,102.21,1.25,60.12
26.13,103.20,1.37,71.78
26.33,101.89,1.90,69.16
26.49,102.76,1.06,66.81
26.69,102.22,0.87,61.34
26.86,104.78,0.44,62.79
27.06,98.62,1.07,66.02
27.26,100.16,0.99,68.11
27.49,99.27,1.25,69.20
27.66,104.37,1.18,64.30
27.86,100.02,1.89,61.71
28.06,104.11,3.28,65.83
28.26,102.33,2.48,51.94
28.43,103.44,1.59,57.52
28.70,102.67,1.73,52.94
28.93,101.10,1.24,55.32
29.16,104.61,2.22,54.80
29.40,106.15,1.95,73.50
29.60,104.74,1.49,76.50
29.83,103.20,2.26,82.70
30.06,102.81,2.25,72.77
30.23,102.87,1.32,55.68
30.26,104.24,0.77,52.45
30.30,104.24,1.21,49.47
30.33,104.24,1.30,53.37
30.36,104.24,1.44,64.97
30.40,104.24,1.44,99.92
30.53,100.91,1.02,96.02
31.23,104.83,0.59,93.30
31.97,103.46,1.27,94.29
32.07,102.03,1.81,92.49
32.20,103.96,1.10,92.96
32.30,104.13,1.46,93.32
32.40,103.81,1.36,93.82
32.47,100.95,0.71,96.95
32.57,102.49,2.21,93.85
32.60,106.00,0.69,102.38
32.63,106.00,0.59,96.44
32.70,103.48,1.79,93.88
32.80,100.95,1.20,102.80
32.93,100.20,1.05,95.93
33.03,101.55,0.67,97.52
33.17,100.18,1.30,102.99
33.27,105.70,0.63,98.80
33.40,104.46,1.89,101.58
33.53,104.46,0.67,99.73
33.63,106.95,0.64,100.72
33.77,104.40,1.37,112.37
33.87,102.13,1.31,102.32
34.00,102.03,1.32,97.29
34.13,102.13,0.84,97.15
34.23,103.51,1.21,93.98
34.37,105.39,1.20,96.90
34.47,102.18,0.94,90.99
35.07,104.66,0.54,94.80
35.87,103.71,1.11,97.07
36.04,99.62,1.46,94.42
36.17,102.95,0.00,96.51
36.27,106.21,1.60,83.33
36.40,100.86,2.39,84.35
36.57,106.72,2.08,81.19
36.70,106.84,2.01,80.88
36.90,99.15,0.95,75.68
37.07,101.02,1.51,85.37
37.24,103.48,0.98,76.37
37.40,105.68,0.90,77.26
