Timestamp (s),Heart Rate (BPM),Face Movement (avg),Eye Movement (avg)
0.00,100.21,1.77,49.79
5.10,122.03,1.59,57.92
6.13,99.88,1.71,46.81
7.20,109.94,2.73,60.70
8.23,118.70,1.84,54.27
9.27,117.89,1.32,50.38
10.30,116.75,1.24,53.64
11.37,120.85,1.38,58.56
12.40,110.86,1.32,54.11
13.43,110.90,1.46,53.17
14.43,112.13,2.65,76.06
15.43,109.55,2.12,64.10
16.47,111.44,3.03,55.43
17.47,114.82,3.92,58.68
18.47,115.01,2.69,55.41
19.47,113.57,1.82,60.68
20.47,110.80,1.52,62.70
21.50,106.00,1.88,61.33
22.57,109.65,2.91,80.80
23.60,108.90,1.23,64.71
24.63,110.19,2.70,52.80
25.67,107.76,2.68,63.89
26.73,104.44,1.57,65.02
27.73,110.86,1.58,59.99
28.73,111.21,1.22,60.28
29.73,111.93,0.96,61.25
30.73,113.31,1.27,69.34
31.73,110.54,1.39,71.59
32.73,107.93,1.10,67.42
33.73,111.35,1.72,61.20
34.73,109.09,1.74,60.96
35.77,109.42,1.23,60.44
