Timestamp (s),Heart Rate (BPM),Face Movement (avg),Eye Movement (avg)
0.27,98.92,1.77,49.79
5.47,109.42,1.59,57.92
6.47,115.57,1.71,46.81
7.50,103.14,2.73,60.70
8.53,101.60,1.84,54.27
9.60,104.55,1.32,50.38
10.63,105.53,1.24,53.64
11.67,102.74,1.38,58.56
12.70,101.20,1.32,54.11
13.77,103.71,1.46,53.17
14.80,100.28,2.65,76.06
15.83,101.30,2.12,64.10
16.87,97.90,3.03,55.43
17.93,102.39,3.92,58.68
18.97,98.78,2.69,55.41
20.00,95.10,1.82,60.68
21.03,102.75,1.52,62.70
22.10,106.69,1.88,61.33
23.13,98.02,2.91,80.80
24.17,106.36,1.23,64.71
25.20,103.60,2.70,52.80
26.27,106.45,2.68,63.89
27.30,101.04,1.57,65.02
28.33,103.94,1.58,59.99
29.37,103.35,1.22,60.28
30.43,106.82,0.96,61.25
31.47,99.54,1.27,69.34
