Timestamp (s),Heart Rate (BPM),Face Movement (avg),Eye Movement (avg)
0.00,103.99,1.77,49.79
4.47,104.24,1.59,57.92
4.64,101.05,1.71,46.81
4.80,96.52,2.73,60.70
4.94,91.21,1.84,54.27
5.11,104.70,1.32,50.38
5.27,101.71,1.24,53.64
5.44,100.80,1.38,58.56
5.61,105.87,1.32,54.11
5.77,104.27,1.46,53.17
5.91,105.35,2.65,76.06
6.07,108.17,2.12,64.10
6.24,107.33,3.03,55.43
6.41,108.32,3.92,58.68
6.54,108.98,2.69,55.41
6.71,104.90,1.82,60.68
6.87,101.81,1.52,62.70
7.01,108.98,1.88,61.33
7.17,104.44,2.91,80.80
7.34,105.97,1.23,64.71
7.51,104.29,2.70,52.80
7.64,100.43,2.68,63.89
7.81,94.57,1.57,65.02
7.84,105.39,1.58,59.99
7.97,106.07,1.22,60.28
8.14,106.07,0.96,61.25
8.31,103.44,1.27,69.34
8.54,100.47,1.39,71.59
8.68,95.51,1.10,67.42
8.84,102.60,1.72,61.20
9.01,97.20,1.74,60.96
9.18,104.48,1.23,60.44
9.31,108.10,1.91,64.29
9.48,99.94,2.61,50.79
9.61,100.32,1.01,46.16
9.81,94.42,1.32,49.36
9.94,102.70,1.35,54.53
10.08,103.08,1.62,46.03
10.31,106.17,1.09,41.52
10.48,96.27,1.42,48.62
10.58,106.56,0.86,43.89
10.71,101.93,1.74,44.53
10.88,104.39,0.89,46.86
11.01,103.36,1.68,46.15
11.18,106.74,1.70,51.44
11.34,108.95,1.22,57.09
11.48,104.30,1.89,45.93
11.64,109.35,1.72,45.24
11.81,100.16,1.24,45.58
11.98,105.46,1.05,44.96
12.11,104.24,1.27,52.38
12.28,100.52,1.60,49.53
12.41,105.01,1.27,50.80
12.58,111.84,2.28,46.45
12.75,102.77,1.56,54.91
12.91,96.20,1.33,55.83
13.05,102.75,1.07,53.10
13.15,99.33,1.82,67.62
13.31,98.53,3.01,56.48
13.45,97.73,1.87,52.82
13.61,101.00,0.96,52.74
13.75,97.20,1.05,50.59
13.91,96.68,0.77,50.05
14.05,103.12,1.28,50.54
14.21,93.55,0.60,52.11
14.35,103.45,1.55,58.59
14.48,95.43,1.99,54.27
14.65,95.43,1.28,56.07
14.78,98.24,1.06,56.45
14.95,96.39,0.82,58.21
15.05,99.28,1.17,65.05
15.22,98.45,1.88,71.03
15.35,104.24,2.23,61.56
15.48,101.91,3.15,51.77
15.65,97.05,2.34,51.07
15.78,98.94,1.22,54.88
15.92,105.34,0.85,63.92
16.08,105.09,1.15,68.37
16.22,98.34,1.01,61.24
16.38,103.39,1.23,55.47
16.52,99.88,0.95,56.54
16.65,94.44,1.09,52.75
16.82,96.86,1.21,59.32
16.95,93.62,2.63,47.28
17.08,95.41,4.41,51.58
17.25,97.59,2.75,48.19
17.38,98.86,1.53,61.22
17.52,102.75,2.94,53.30
17.65,95.81,2.23,60.67
17.82,95.82,1.35,60.23
17.98,93.16,1.40,51.31
18.12,92.75,2.97,77.57
18.28,95.82,2.18,67.07
18.42,96.00,1.47,60.43
18.59,98.95,1.22,58.99
18.72,97.28,1.57,69.48
18.85,100.66,1.41,74.51
19.02,98.17,0.70,67.92
19.15,93.44,1.17,63.79
19.29,94.97,1.78,57.97
19.42,100.63,1.29,56.71
19.59,99.90,0.74,57.79
19.72,94.20,1.34,53.09
19.85,91.88,0.71,53.59
19.99,98.83,1.45,61.88
20.12,94.19,1.70,59.77
20.29,88.81,1.25,60.12
20.42,102.16,1.37,71.78
20.55,99.21,1.90,69.16
20.69,94.43,1.06,66.81
20.82,92.00,0.87,61.34
20.99,102.29,0.44,62.79
21.12,85.05,1.07,66.02
21.25,87.97,0.99,68.11
21.32,95.43,1.25,69.20
21.45,102.53,1.18,64.30
21.59,95.68,1.89,61.71
21.65,94.33,3.28,65.83
21.76,93.02,2.48,51.94
21.92,98.74,1.59,57.52
22.06,98.11,1.73,52.94
22.19,90.72,1.24,55.32
22.32,94.70,2.22,54.80
22.46,101.47,1.95,73.50
22.59,93.52,1.49,76.50
22.72,93.37,2.26,82.70
22.86,93.37,2.25,72.77
23.32,99.28,1.32,55.68
24.29,98.19,0.77,52.45
24.42,100.05,1.21,49.47
24.56,99.33,1.30,53.37
24.69,91.18,1.44,64.97
24.82,91.43,1.44,99.92
24.96,97.48,1.02,96.02
25.09,93.72,0.59,93.30
25.23,91.32,1.27,94.29
25.36,99.62,1.81,92.49
25.49,99.08,1.10,92.96
25.66,91.84,1.46,93.32
25.79,93.47,1.36,93.82
25.93,99.62,0.71,96.95
26.06,98.26,2.21,93.85
26.23,90.12,0.69,102.38
26.36,93.93,0.59,96.44
26.49,97.00,1.79,93.88
26.63,91.25,1.20,102.80
26.76,90.77,1.05,95.93
26.89,97.11,0.67,97.52
27.03,97.54,1.30,102.99
27.16,90.08,0.63,98.80
27.29,90.86,1.89,101.58
27.43,95.05,0.67,99.73
27.56,92.45,0.64,100.72
27.69,93.49,1.37,112.37
27.83,93.37,1.31,102.32
27.93,98.14,1.32,97.29
28.06,93.61,0.84,97.15
28.19,91.06,1.21,93.98
28.33,94.14,1.20,96.90
28.46,93.68,0.94,90.99
28.60,93.79,0.54,94.80
28.73,93.57,1.11,97.07
28.86,95.37,1.46,94.42
28.96,93.79,0.00,96.51
29.06,90.64,1.60,83.33
29.16,91.21,2.39,84.35
29.30,94.07,2.08,81.19
29.43,94.83,2.01,80.88
29.60,91.78,0.95,75.68
29.73,93.01,1.51,85.37
29.86,90.69,0.98,76.37
30.00,99.07,0.90,77.26
30.13,91.68,0.38,77.94
30.26,91.05,0.41,77.81
30.40,96.19,0.38,79.16
30.53,93.18,0.64,80.82
30.63,92.75,0.91,79.31
30.76,92.74,0.64,79.38
30.90,97.27,0.34,79.57
31.03,98.53,0.46,81.05
31.13,89.71,0.63,81.15
31.23,90.96,0.61,80.80
31.36,94.27,0.50,80.47
31.50,91.27,0.87,81.51
31.66,89.38,0.82,80.54
31.80,88.80,1.49,85.46
31.93,100.34,1.34,89.55
32.03,92.22,1.56,84.81
32.20,90.00,0.00,79.16
32.33,94.98,1.29,64.68
32.43,89.58,0.95,64.48
32.60,91.82,0.66,65.57
32.77,90.31,2.01,60.60
32.93,95.95,1.37,55.64
33.07,90.45,1.85,57.13
33.17,90.10,1.09,56.08
33.30,90.87,1.02,61.19
33.43,91.92,0.70,63.52
33.57,91.46,0.79,63.96
33.70,89.66,0.80,63.09
33.87,94.51,0.93,60.86
34.03,97.74,0.59,59.06
34.17,88.34,0.60,58.84
34.30,91.62,0.40,58.72
34.43,89.17,0.53,62.04
34.57,89.63,0.81,57.88
34.67,90.93,1.25,58.54
34.80,88.31,0.38,59.57
34.90,95.09,0.53,58.83
