Timestamp (s),Heart Rate (BPM),Face Movement (avg),Eye Movement (avg)
0.23,100.22,1.77,49.79
5.43,119.44,1.59,57.92
6.47,113.00,1.71,46.81
7.47,110.31,2.73,60.70
8.50,106.56,1.84,54.27
9.53,109.15,1.32,50.38
10.57,106.33,1.24,53.64
11.60,101.02,1.38,58.56
12.63,98.91,1.32,54.11
13.63,109.68,1.46,53.17
14.63,109.39,2.65,76.06
15.70,105.19,2.12,64.10
16.70,109.94,3.03,55.43
17.70,105.46,3.92,58.68
18.70,110.05,2.69,55.41
19.70,103.66,1.82,60.68
20.73,108.96,1.52,62.70
21.73,110.30,1.88,61.33
22.77,109.06,2.91,80.80
23.77,106.41,1.23,64.71
24.77,111.55,2.70,52.80
25.80,110.18,2.68,63.89
26.83,111.34,1.57,65.02
27.77,109.23,1.58,59.99
28.70,110.01,1.22,60.28
29.67,110.49,0.96,61.25
30.67,109.84,1.27,69.34
31.67,110.05,1.39,71.59
32.70,111.52,1.10,67.42
33.70,111.32,1.72,61.20
34.70,108.45,1.74,60.96
35.70,110.05,1.23,60.44
36.70,108.79,1.91,64.29
