Timestamp (s),Heart Rate (BPM),Face Movement (avg),Eye Movement (avg)
5.74,104.00,1.77,49.79
6.77,101.50,1.59,57.92
7.81,98.80,1.71,46.81
8.84,103.37,2.73,60.70
9.91,85.88,1.84,54.27
10.94,90.68,1.32,50.38
11.98,98.67,1.24,53.64
13.01,83.55,1.38,58.56
14.08,103.32,1.32,54.11
15.12,101.30,1.46,53.17
16.15,102.15,2.65,76.06
17.18,95.93,2.12,64.10
18.22,107.59,3.03,55.43
19.25,102.77,3.92,58.68
20.29,100.03,2.69,55.41
21.32,99.11,1.82,60.68
22.39,92.88,1.52,62.70
23.42,98.69,1.88,61.33
24.46,104.48,2.91,80.80
25.49,97.58,1.23,64.71
26.56,91.12,2.70,52.80
27.59,107.92,2.68,63.89
28.63,99.63,1.57,65.02
29.66,96.13,1.58,59.99
30.73,98.24,1.22,60.28
31.77,96.52,0.96,61.25
32.80,91.52,1.27,69.34
33.83,93.29,1.39,71.59
34.90,95.61,1.10,67.42
35.94,93.62,1.72,61.20
36.97,98.63,1.74,60.96
38.00,97.40,1.23,60.44
