Timestamp (s),Heart Rate (BPM),Face Movement (avg),Eye Movement (avg)
5.03,85.71,1.77,49.79
6.07,82.25,1.59,57.92
7.07,84.75,1.71,46.81
8.10,81.76,2.73,60.70
9.13,85.34,1.84,54.27
10.17,81.57,1.32,50.38
11.20,83.40,1.24,53.64
12.27,90.09,1.38,58.56
13.23,87.51,1.32,54.11
14.27,84.94,1.46,53.17
15.27,91.10,2.65,76.06
16.27,87.33,2.12,64.10
17.27,92.54,3.03,55.43
18.27,95.97,3.92,58.68
19.27,98.85,2.69,55.41
20.27,95.87,1.82,60.68
21.27,95.21,1.52,62.70
22.30,94.75,1.88,61.33
23.33,96.97,2.91,80.80
24.33,99.55,1.23,64.71
25.33,101.34,2.70,52.80
26.33,96.08,2.68,63.89
27.37,99.49,1.57,65.02
28.40,98.05,1.58,59.99
29.40,97.41,1.22,60.28
30.43,95.57,0.96,61.25
31.47,100.87,1.27,69.34
32.50,100.32,1.39,71.59
33.50,100.92,1.10,67.42
34.53,99.41,1.72,61.20
35.53,100.01,1.74,60.96
36.53,99.44,1.23,60.44
37.57,100.78,1.91,64.29
38.60,100.00,2.61,50.79
39.63,100.45,1.01,46.16
40.63,103.99,1.32,49.36
41.63,103.05,1.35,54.53
42.63,102.91,1.62,46.03
