Timestamp (s),Heart Rate (BPM),Face Movement (avg),Eye Movement (avg)
0.00,95.79,1.77,49.79
5.21,99.90,1.59,57.92
6.21,102.78,1.71,46.81
7.24,98.18,2.73,60.70
8.24,107.26,1.84,54.27
9.24,103.47,1.32,50.38
10.24,109.37,1.24,53.64
11.28,110.92,1.38,58.56
12.28,111.15,1.32,54.11
13.28,105.49,1.46,53.17
14.28,107.58,2.65,76.06
15.28,107.31,2.12,64.10
16.28,106.40,3.03,55.43
17.28,106.61,3.92,58.68
18.28,109.80,2.69,55.41
19.29,107.51,1.82,60.68
20.29,107.57,1.52,62.70
21.29,112.15,1.88,61.33
22.32,105.43,2.91,80.80
23.32,103.76,1.23,64.71
24.32,104.78,2.70,52.80
25.39,99.33,2.68,63.89
26.39,99.61,1.57,65.02
27.39,101.37,1.58,59.99
28.40,103.80,1.22,60.28
29.40,101.27,0.96,61.25
30.40,104.43,1.27,69.34
31.40,100.58,1.39,71.59
32.40,97.26,1.10,67.42
33.43,102.83,1.72,61.20
34.43,100.31,1.74,60.96
35.44,101.76,1.23,60.44
36.44,102.39,1.91,64.29
