Timestamp (s),Heart Rate (BPM),Face Movement (avg),Eye Movement (avg)
4.70,93.75,1.77,49.79
5.73,133.33,1.59,57.92
6.73,105.03,1.71,46.81
7.77,107.49,2.73,60.70
8.83,104.02,1.84,54.27
9.87,111.00,1.32,50.38
10.90,120.00,1.24,53.64
11.93,118.47,1.38,58.56
12.93,110.38,1.32,54.11
14.00,110.68,1.46,53.17
15.03,116.99,2.65,76.06
16.03,115.36,2.12,64.10
17.07,111.22,3.03,55.43
18.07,111.59,3.92,58.68
19.13,120.96,2.69,55.41
20.13,115.53,1.82,60.68
21.17,115.06,1.52,62.70
22.17,116.76,1.88,61.33
23.20,114.26,2.91,80.80
24.20,110.32,1.23,64.71
25.23,117.17,2.70,52.80
26.23,114.72,2.68,63.89
27.27,110.64,1.57,65.02
28.27,110.36,1.58,59.99
29.30,117.33,1.22,60.28
30.30,117.24,0.96,61.25
31.33,115.36,1.27,69.34
32.33,110.24,1.39,71.59
33.37,112.03,1.10,67.42
34.37,110.64,1.72,61.20
35.40,109.68,1.74,60.96
36.40,108.03,1.23,60.44
37.43,112.10,1.91,64.29
38.43,113.24,2.61,50.79
