Timestamp (s),Heart Rate (BPM),Face Movement (avg),Eye Movement (avg)
0.10,103.38,1.77,49.79
5.27,101.45,1.59,57.92
6.27,105.71,1.71,46.81
7.27,89.77,2.73,60.70
8.27,97.21,1.84,54.27
9.28,94.16,1.32,50.38
10.28,98.38,1.24,53.64
11.31,101.86,1.38,58.56
12.35,100.16,1.32,54.11
13.38,95.41,1.46,53.17
14.41,98.46,2.65,76.06
15.45,100.13,2.12,64.10
16.45,99.46,3.03,55.43
17.48,100.51,3.92,58.68
18.49,100.62,2.69,55.41
19.49,97.92,1.82,60.68
20.49,105.16,1.52,62.70
21.55,100.38,1.88,61.33
22.59,101.30,2.91,80.80
23.59,104.37,1.23,64.71
24.62,97.06,2.70,52.80
25.63,100.55,2.68,63.89
26.66,97.28,1.57,65.02
27.66,106.93,1.58,59.99
28.73,107.80,1.22,60.28
29.73,100.93,0.96,61.25
30.73,104.85,1.27,69.34
31.73,101.73,1.39,71.59
32.73,103.95,1.10,67.42
33.73,101.63,1.72,61.20
34.73,102.67,1.74,60.96
