Timestamp (s),Heart Rate (BPM),Face Movement (avg),Eye Movement (avg)
0.00,92.12,1.77,49.79
5.00,111.11,1.59,57.92
6.03,107.68,1.71,46.81
7.10,102.80,2.73,60.70
8.10,113.95,1.84,54.27
9.13,110.58,1.32,50.38
10.17,109.10,1.24,53.64
11.20,114.89,1.38,58.56
12.27,112.94,1.32,54.11
13.30,112.21,1.46,53.17
14.33,105.04,2.65,76.06
15.37,108.57,2.12,64.10
16.40,109.32,3.03,55.43
17.43,105.22,3.92,58.68
18.47,102.72,2.69,55.41
19.50,99.82,1.82,60.68
20.57,101.48,1.52,62.70
21.60,104.98,1.88,61.33
22.63,103.37,2.91,80.80
23.67,105.61,1.23,64.71
24.73,106.18,2.70,52.80
25.77,101.50,2.68,63.89
26.80,104.55,1.57,65.02
27.83,102.08,1.58,59.99
28.90,106.62,1.22,60.28
29.93,110.23,0.96,61.25
30.97,105.55,1.27,69.34
