Timestamp (s),Heart Rate (BPM),Face Movement (avg),Eye Movement (avg)
5.57,110.76,1.77,49.79
6.54,107.11,1.59,57.92
7.57,105.34,1.71,46.81
8.58,104.71,2.73,60.70
9.61,94.89,1.84,54.27
10.61,96.04,1.32,50.38
11.61,95.89,1.24,53.64
12.65,97.27,1.38,58.56
13.65,100.44,1.32,54.11
14.65,99.94,1.46,53.17
15.68,95.38,2.65,76.06
16.72,96.65,2.12,64.10
17.75,98.40,3.03,55.43
18.25,94.16,3.92,58.68
19.09,97.69,2.69,55.41
19.79,92.21,1.82,60.68
20.82,95.98,1.52,62.70
21.86,91.58,1.88,61.33
22.92,93.85,2.91,80.80
23.96,91.82,1.23,64.71
24.99,92.36,2.70,52.80
26.03,98.26,2.68,63.89
27.09,98.34,1.57,65.02
28.13,96.80,1.58,59.99
28.80,98.08,1.22,60.28
29.83,96.50,0.96,61.25
30.86,93.47,1.27,69.34
31.93,97.62,1.39,71.59
32.97,101.25,1.10,67.42
34.00,100.10,1.72,61.20
35.04,98.03,1.74,60.96
36.10,99.23,1.23,60.44
