Timestamp (s),Heart Rate (BPM),Face Movement (avg),Eye Movement (avg)
0.00,105.55,1.77,49.79
4.97,108.98,1.59,57.92
6.01,105.05,1.71,46.81
7.04,105.14,2.73,60.70
8.07,107.42,1.84,54.27
9.14,108.20,1.32,50.38
10.18,114.94,1.24,53.64
11.21,111.45,1.38,58.56
12.25,105.00,1.32,54.11
13.31,105.57,1.46,53.17
14.35,107.06,2.65,76.06
15.38,106.80,2.12,64.10
16.42,107.07,3.03,55.43
16.72,105.94,3.92,58.68
16.95,101.12,2.69,55.41
17.15,103.81,1.82,60.68
17.35,106.28,1.52,62.70
17.55,104.45,1.88,61.33
17.75,98.34,2.91,80.80
17.95,100.29,1.23,64.71
18.18,102.75,2.70,52.80
18.39,105.64,2.68,63.89
18.59,102.94,1.57,65.02
18.79,104.48,1.58,59.99
18.99,104.61,1.22,60.28
19.22,104.34,0.96,61.25
19.42,104.24,1.27,69.34
19.62,106.22,1.39,71.59
19.82,103.63,1.10,67.42
20.02,107.85,1.72,61.20
20.22,107.61,1.74,60.96
20.42,112.39,1.23,60.44
20.59,107.66,1.91,64.29
20.75,108.80,2.61,50.79
20.95,108.46,1.01,46.16
21.15,108.98,1.32,49.36
21.35,106.44,1.35,54.53
21.55,103.31,1.62,46.03
21.76,106.00,1.09,41.52
21.96,104.98,1.42,48.62
22.16,108.13,0.86,43.89
22.36,106.69,1.74,44.53
22.56,106.43,0.89,46.86
22.76,106.16,1.68,46.15
22.96,106.15,1.70,51.44
23.16,107.98,1.22,57.09
23.39,106.25,1.89,45.93
23.59,106.25,1.72,45.24
23.82,101.65,1.24,45.58
24.09,107.73,1.05,44.96
24.36,105.28,1.27,52.38
24.62,104.55,1.60,49.53
24.86,103.37,1.27,50.80
25.13,106.41,2.28,46.45
25.39,106.16,1.56,54.91
25.63,102.86,1.33,55.83
25.83,102.85,1.07,53.10
26.03,102.76,1.82,67.62
26.19,104.50,3.01,56.48
26.39,101.60,1.87,52.82
26.59,103.16,0.96,52.74
26.79,101.60,1.05,50.59
26.96,98.98,0.77,50.05
27.16,103.41,1.28,50.54
27.36,97.40,0.60,52.11
27.56,99.15,1.55,58.59
27.79,102.28,1.99,54.27
27.99,97.52,1.28,56.07
28.16,102.52,1.06,56.45
28.36,102.99,0.82,58.21
28.56,99.18,1.17,65.05
28.76,100.02,1.88,71.03
28.96,96.30,2.23,61.56
29.16,99.31,3.15,51.77
29.36,99.33,2.34,51.07
29.53,97.34,1.22,54.88
29.73,103.47,0.85,63.92
29.93,102.20,1.15,68.37
30.10,100.59,1.01,61.24
30.30,105.70,1.23,55.47
30.53,99.34,0.95,56.54
30.70,100.46,1.09,52.75
30.93,100.35,1.21,59.32
31.10,99.23,2.63,47.28
31.30,103.39,4.41,51.58
31.60,100.12,2.75,48.19
31.83,101.75,1.53,61.22
32.07,97.71,2.94,53.30
32.27,104.11,2.23,60.67
32.47,98.12,1.35,60.23
32.67,99.26,1.40,51.31
32.73,98.02,2.97,77.57
32.90,95.45,2.18,67.07
33.10,99.90,1.47,60.43
33.30,99.80,1.22,58.99
33.37,100.93,1.57,69.48
33.53,97.85,1.41,74.51
33.70,100.31,0.70,67.92
33.90,102.35,1.17,63.79
34.07,98.69,1.78,57.97
34.27,101.81,1.29,56.71
34.47,99.00,0.74,57.79
34.63,100.29,1.34,53.09
34.83,101.47,0.71,53.59
35.04,97.96,1.45,61.88
35.30,99.22,1.70,59.77
35.54,101.82,1.25,60.12
35.74,100.86,1.37,71.78
35.94,100.95,1.90,69.16
36.14,99.14,1.06,66.81
36.34,101.04,0.87,61.34
36.54,99.44,0.44,62.79
36.70,99.07,1.07,66.02
36.87,102.84,0.99,68.11
37.07,97.41,1.25,69.20
