Timestamp (s),Heart Rate (BPM),Face Movement (avg),Eye Movement (avg)
5.51,106.95,1.77,49.79
6.54,118.40,1.59,57.92
7.54,121.31,1.71,46.81
8.58,112.80,2.73,60.70
9.61,101.17,1.84,54.27
10.68,113.59,1.32,50.38
11.71,116.26,1.24,53.64
12.75,111.17,1.38,58.56
13.78,108.52,1.32,54.11
14.85,104.02,1.46,53.17
15.88,111.58,2.65,76.06
16.92,112.80,2.12,64.10
17.92,106.80,3.03,55.43
18.92,103.95,3.92,58.68
19.89,103.55,2.69,55.41
20.89,104.81,1.82,60.68
21.92,106.32,1.52,62.70
22.99,113.56,1.88,61.33
24.02,110.25,2.91,80.80
25.06,106.93,1.23,64.71
26.06,100.82,2.70,52.80
27.03,105.14,2.68,63.89
