Timestamp (s),Heart Rate (BPM),Face Movement (avg),Eye Movement (avg)
0.00,105.75,1.77,49.79
5.77,109.78,1.59,57.92
6.77,103.70,1.71,46.81
7.80,107.14,2.73,60.70
8.83,104.03,1.84,54.27
9.87,98.16,1.32,50.38
10.93,98.31,1.24,53.64
11.97,94.27,1.38,58.56
13.00,97.89,1.32,54.11
14.03,102.58,1.46,53.17
15.10,88.70,2.65,76.06
16.13,92.34,2.12,64.10
17.17,91.68,3.03,55.43
18.20,84.79,3.92,58.68
19.27,99.09,2.69,55.41
20.30,100.89,1.82,60.68
21.33,99.75,1.52,62.70
22.37,96.27,1.88,61.33
23.43,97.04,2.91,80.80
24.47,94.97,1.23,64.71
25.50,93.71,2.70,52.80
26.53,100.05,2.68,63.89
27.60,102.06,1.57,65.02
28.63,92.26,1.58,59.99
29.67,98.59,1.22,60.28
30.70,91.69,0.96,61.25
31.77,93.33,1.27,69.34
