Timestamp (s),Heart Rate (BPM),Face Movement (avg),Eye Movement (avg)
0.00,103.90,1.77,49.79
5.13,101.69,1.59,57.92
6.13,92.17,1.71,46.81
7.13,100.70,2.73,60.70
8.17,101.68,1.84,54.27
9.17,100.45,1.32,50.38
10.20,89.63,1.24,53.64
11.27,98.65,1.38,58.56
12.30,101.73,1.32,54.11
13.33,100.54,1.46,53.17
14.37,102.45,2.65,76.06
15.43,100.47,2.12,64.10
16.47,98.73,3.03,55.43
17.50,99.74,3.92,58.68
18.53,100.77,2.69,55.41
19.53,97.65,1.82,60.68
20.53,97.41,1.52,62.70
21.53,94.52,1.88,61.33
22.57,100.00,2.91,80.80
23.60,97.35,1.23,64.71
24.63,100.72,2.70,52.80
25.67,104.24,2.68,63.89
26.73,105.68,1.57,65.02
27.77,107.12,1.58,59.99
28.80,106.51,1.22,60.28
29.83,101.62,0.96,61.25
30.90,96.92,1.27,69.34
31.93,99.68,1.39,71.59
32.97,99.18,1.10,67.42
34.00,97.17,1.72,61.20
35.07,103.90,1.74,60.96
36.10,106.74,1.23,60.44
